Koreansk,Dansk,Kategori,Pensum,Kilde,Rettet,Eksporter
Ka un de sonkarak,Langfinger,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Kaljebi,Benævnelse for slag mod hals m. agwison,Håndteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Kaljebi,Benævnelse for chigi med Agwison mod hals,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Kaljeo,Break,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Kalyeo,Stop/”Break”,Kamp,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Ke so,Fortsæt,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Keokki,Knække,Diverse,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Keokki,Brække,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Keuman,Stop og indtag startposition,Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Keumgang makki,Diamant blokering,Håndteknikker,1. dan,http://www.tangun.dk/images/stories/docs/1dan.pdf,FALSE,TRUE
Keumgeng momtong makki,Diamant blokering i midtersektion,Håndteknikker,2. dan,http://www.tangun.dk/images/stories/docs/2dan.pdf,FALSE,TRUE
Keun dolcheogi,Stort hængsel,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Keun-dolcheogi,Stort hængsel,Håndteknikker,1. dan,http://www.tangun.dk/images/stories/docs/1dan.pdf,FALSE,TRUE
Keureo olligi,Trækker opad i blokering,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Khungne,Bukke/Hilse,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ki-hap,"Kampråb, Ki=samle og hap=energi",Diverse,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Kihap,Energi koncentration,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Kjosa-nim,Træner 1.-3. dan,Diverse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Ko,Niende ( 9. ),Tal,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Ko,Næse,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Koobi,Lang stand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Kuk Chea Sabeum Nim,6-7. Dan instruktør,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Kukki jedeharjo kyeongne,Hilsen til flag,Diverse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Kukkiwon,Taekwondo hovedkvarter i Korea,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Kup,Elevgrad,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Kwan Jang Nim,Skolens leder,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
